Case ID,Activity_Declaration APPROVED by ADMINISTRATION,Activity_Declaration APPROVED by BUDGET OWNER,Activity_Declaration APPROVED by PRE_APPROVER,Activity_Declaration FINAL_APPROVED by SUPERVISOR,Activity_Declaration REJECTED by SUPERVISOR,Activity_Declaration SAVED by EMPLOYEE,Activity_Declaration SUBMITTED by EMPLOYEE,Activity_Payment Handled,Activity_Request Payment,Resource_STAFF MEMBER,Resource_SYSTEM,id_other,Role_ADMINISTRATION,Role_BUDGET OWNER,Role_EMPLOYEE,Role_PRE_APPROVER,Role_SUPERVISOR,Role_UNDEFINED,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,hour_0,hour_1,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_2,hour_20,hour_21,hour_22,hour_23,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,duration_mean,duration_max,duration_min,duration_sum,duration_std,elapsed_mean,elapsed_max,elapsed_min,elapsed_sum,elapsed_std,true_value,predicted_value,relative_error
declaration 100053_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,0,0,4,0,0,2,0,0,0,1,0,1,4,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19952.941666666666,107269.21666666666,0.0,119717.65,42934.67677213159,2460990.3333333335,7183059.0,0.0,14765942.0,3597411.1774858134,0.0,0.070633896,5.030044415143387e-07
declaration 100059_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1766.0966666666668,4812.3,0.0,8830.483333333334,2428.410503789807,202223.8,529829.0,0.0,1011119.0,219126.35140187957,0.0,0.064812884,4.6155132836767974e-07
declaration 100064_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1765.8700000000001,4812.3,0.0,8829.35,2427.9306326009855,202176.2,529761.0,0.0,1010881.0,219093.77755130336,0.0,0.064812884,4.6155132836767974e-07
declaration 100069_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1765.7666666666669,4812.316666666667,0.0,8828.833333333334,2421.3171851804136,201977.2,529730.0,0.0,1009886.0,219033.72681781222,0.0,0.06408236,4.5634906965871417e-07
declaration 100074_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1765.5099999999998,4812.333333333333,0.0,8827.55,2420.5839457200773,201906.8,529653.0,0.0,1009534.0,219000.46897027415,0.0,0.06408236,4.5634906965871417e-07
declaration 100079_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,0,0,6,0,0,0,0,0,2,1,0,1,2,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2429.586111111111,6316.283333333334,0.0,14577.516666666666,2473.321392994913,326078.0,874651.0,0.0,1956468.0,331107.61271284596,0.0,0.0641338,4.567153803210024e-07
declaration 100085_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1759.8266666666666,3917.483333333333,0.0,8799.133333333333,1833.300615905034,217986.8,527948.0,0.0,1089934.0,225343.59337620408,0.0,0.06406685,4.5623860343639606e-07
declaration 100090_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1732.0099999999998,4748.4,0.0,8660.05,2368.7104042894075,197172.4,519603.0,0.0,985862.0,214652.30628227594,0.0,0.06503301,4.631189194043695e-07
declaration 100095_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1522.4166666666665,3407.016666666667,0.0,7612.083333333333,1681.4263425073898,180316.6,456725.0,0.0,901583.0,191545.93783424384,0.0,0.064669766,4.6053214216954905e-07
declaration 100100_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1423.1466666666668,3379.0333333333333,0.0,7115.733333333334,1477.796857299556,158442.0,426944.0,0.0,792210.0,178128.8390463487,0.0,0.06423648,4.574465690864998e-07
declaration 100105_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,0,0,3,3,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3818.5222222222224,11588.366666666669,0.0,22911.133333333335,4727.621108545287,762111.1666666666,1374668.0,0.0,4572667.0,445134.9448670219,0.0,0.113140196,8.057041218605013e-07
declaration 100111_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,0,0,4,1,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3257.6066666666666,10385.933333333332,0.0,16288.033333333333,4389.484587460759,353557.2,977282.0,0.0,1767786.0,457349.2823731114,0.0,0.065954514,4.6968120725679306e-07
declaration 100116_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,0,0,6,0,0,0,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1027.95,3304.7,0.0,6167.7,1317.0509054533752,133010.5,370062.0,0.0,798063.0,139222.48010540538,0.0,0.06369246,4.535724518170474e-07
declaration 100131_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,0,0,6,0,0,0,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1026.5,3304.7166666666667,0.0,6159.0,1316.6509999911814,132679.16666666666,369540.0,0.0,796075.0,139019.56955107677,0.0,0.06369246,4.535724518170474e-07
declaration 100137_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,0,0,4,2,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,2704.972222222222,9746.766666666666,0.0,16229.833333333332,3677.552938491492,416116.6666666667,973790.0,0.0,2496700.0,436716.36251812987,0.0,0.07024524,5.002367373736083e-07
declaration 100143_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,0,0,6,0,0,0,0,0,1,2,0,1,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1011.625,2985.4333333333334,0.0,6069.75,1146.1312802326695,130686.5,364185.0,0.0,784119.0,138436.06344554876,0.0,0.0635183,4.5233222705879315e-07
declaration 100149_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1206.1066666666668,4803.283333333334,0.0,6030.533333333334,2069.9177869006726,100960.2,361832.0,0.0,504801.0,150155.2100701138,0.0,0.06359463,4.5287580364267824e-07
declaration 100154_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1936.3666666666668,6358.216666666666,0.0,11618.2,2411.8322419779624,220404.66666666666,697092.0,0.0,1322428.0,267212.6602694316,0.0,0.063579954,4.5277127988765107e-07
declaration 100160_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,0,0,6,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,811.1972222222222,3423.016666666667,0.0,4867.183333333333,1354.6417244839918,80294.66666666667,292031.0,0.0,481768.0,111181.77597190408,0.0,0.06410126,4.5648362409665783e-07
declaration 100166_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,0,0,4,2,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2486.9249999999997,6663.5,0.0,14921.55,2882.2024712737766,312105.6666666667,895293.0,0.0,1872634.0,392508.4038359773,0.0,0.06365626,4.5331469729830517e-07
declaration 100172_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,967.79,4354.816666666667,0.0,4838.95,1897.346339650021,67074.6,290337.0,0.0,335373.0,125399.2327340961,0.0,0.06522555,4.6449003761625424e-07
declaration 100177_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,967.2300000000001,4470.05,0.0,4836.150000000001,1960.1765571839017,66094.2,290169.0,0.0,330471.0,125505.58293239388,0.0,0.06524106,4.646005038385723e-07
declaration 100182_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,965.5366666666666,4798.316666666667,0.0,4827.683333333333,2142.609045144105,58580.2,289661.0,0.0,292901.0,129180.5292844088,0.0,0.06597158,4.698027625475379e-07
declaration 100187_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,963.7966666666665,4469.833333333333,0.0,4818.983333333333,1961.9598995788765,63749.2,289139.0,0.0,318746.0,126285.09466956106,0.0,0.06595607,4.696922963252198e-07
declaration 100192_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,963.5166666666667,4786.266666666666,0.0,4817.583333333333,2136.9975670383383,58335.8,289055.0,0.0,291679.0,128978.12545428005,0.0,0.06597158,4.698027625475379e-07
declaration 100207_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,6,0,0,0,0,0,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,968.7027777777779,3402.55,0.0,5812.216666666667,1338.2654574492506,120748.5,348733.0,0.0,724491.0,129131.92827298754,0.0,0.06419845,4.5717576236281513e-07
declaration 100213_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2104.2233333333334,4323.55,0.0,10521.116666666667,1984.505348758224,236751.2,631267.0,0.0,1183756.0,268823.09502477647,0.0,0.06344743,4.518275418010171e-07
declaration 100218_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,921.2866666666666,3331.2166666666667,0.0,4606.433333333333,1450.046958933093,85553.6,276386.0,0.0,427768.0,113193.40343103037,0.0,0.06334263,4.5108123157857417e-07
declaration 100223_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4067.896666666666,8284.266666666666,0.0,20339.48333333333,4014.8424908982697,446828.2,1220369.0,0.0,2234141.0,531118.0245804128,0.0,0.07486375,5.331264368076375e-07
declaration 100228_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891.4766666666667,4253.516666666666,0.0,4457.383333333333,1881.121508590908,56127.6,267443.0,0.0,280638.0,118242.02223532884,0.0,0.06848415,4.87695478502654e-07
declaration 100233_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,4,2,0,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,5779.969444444444,16052.433333333332,0.0,34679.816666666666,6225.07179400292,866632.5,2080789.0,0.0,5199795.0,925998.7211467952,0.0,0.06913761,4.923489609688549e-07
declaration 100239_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,6,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1696.9944444444445,5763.316666666667,0.0,10181.966666666667,2372.80151070105,167838.0,610918.0,0.0,1007028.0,237937.21269528227,0.0,0.06343262,4.517220630066039e-07
declaration 100258_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,1,0,0,0,5,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,32644.108333333334,181071.75,0.0,195864.65,72799.53009555668,9413993.0,11751879.0,0.0,56483958.0,4626080.762987218,0.0,0.06502604,4.6306925735629566e-07
declaration 100264_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2012.236666666667,6337.433333333333,0.0,10061.183333333334,2665.8772303460973,177106.8,603671.0,0.0,885534.0,255400.59035111882,0.0,0.06344743,4.518275418010171e-07
declaration 100269_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1828.0833333333335,5880.05,0.0,9140.416666666668,2404.868656756539,166935.6,548425.0,0.0,834678.0,227800.2927638593,0.0,0.011100439,7.904944564160924e-08
declaration 100274_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1827.123333333333,4441.266666666666,0.0,9135.616666666665,1903.0374630515757,200375.2,548137.0,0.0,1001876.0,228232.80224849362,0.0,0.06287938,4.4778231330823336e-07
declaration 100279_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1825.9033333333332,6159.616666666667,0.0,9129.516666666666,2536.5130712204545,165118.4,547771.0,0.0,825592.0,226599.41888782504,0.0,0.06320276,4.500851785566829e-07
declaration 100284_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,644.4199999999998,1859.7333333333331,0.0,3222.0999999999995,877.9261300233509,71073.2,193326.0,0.0,355366.0,79185.47665576056,0.0,0.06228239,4.4353095548129696e-07
declaration 100289_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535.7694444444445,2957.0333333333333,0.0,3214.616666666667,1188.838949022517,39357.0,192877.0,0.0,236142.0,75548.31781581904,0.0,0.06554547,4.667682840716416e-07
declaration 100295_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,6,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3152.077777777778,7696.5,0.0,18912.466666666667,3162.6528922315742,445168.0,1134748.0,0.0,2671008.0,466929.1674380601,0.0,0.08426427,6.000702939759916e-07
declaration 100301_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,4,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4639.333333333333,17283.716666666667,0.0,23196.666666666664,7229.016364181998,545350.4,1391800.0,0.0,2726752.0,685332.1452487838,0.0,0.069882944,4.976566984722337e-07
declaration 100306_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3750.88,12478.216666666667,0.0,18754.4,5498.228649344462,528392.2,1125264.0,0.0,2641961.0,505119.173228655,0.0,0.06511464,4.63700220044003e-07
declaration 100311_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,6,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1407.8527777777779,6205.2,0.0,8447.116666666667,2413.9656067331907,139769.66666666666,506827.0,0.0,838618.0,189623.95476908152,0.0,0.06657155,4.740752904141981e-07
declaration 100317_6,1,1,0,1,0,0,1,1,1,4,2,6,1,1,1,0,1,2,0,0,0,0,6,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1407.5527777777777,6205.233333333334,0.0,8445.316666666666,2414.0284970106773,139702.5,506719.0,0.0,838215.0,189589.582374929,0.0,0.06657155,4.740752904141981e-07
declaration 100323_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2403.91,7178.816666666667,0.0,12019.55,3375.707007173131,231645.6,721173.0,0.0,1158228.0,331660.71930558793,0.0,0.06348321,4.520823250861139e-07
declaration 100328_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,2,3,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6435.393333333333,12929.5,0.0,32176.966666666667,4817.19700264641,1081747.0,1930618.0,0.0,5408735.0,798920.7777123462,0.0,0.06897544,4.911941061201635e-07
declaration 100333_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1538.8433333333332,4500.716666666666,0.0,7694.216666666666,2055.9779089009903,134210.6,461653.0,0.0,671053.0,200054.19316725156,0.0,0.06349872,4.5219279130843195e-07
declaration 100338_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1521.8166666666666,6093.566666666667,0.0,7609.083333333333,2620.3918893194414,111165.2,456545.0,0.0,555826.0,196839.34717225618,0.0,0.06338112,4.513553278823663e-07
declaration 100343_5,1,0,0,1,0,0,1,1,1,3,2,5,1,0,1,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3525.97,9969.016666666666,0.0,17629.85,4307.368203558616,505323.8,1057791.0,0.0,2526619.0,449624.664089616,0.0,0.07534685,5.365667539648553e-07
