Case ID,Activity_Declaration APPROVED by ADMINISTRATION,Activity_Declaration APPROVED by PRE_APPROVER,Activity_Declaration FINAL_APPROVED by SUPERVISOR,Activity_Declaration REJECTED by ADMINISTRATION,Activity_Declaration REJECTED by PRE_APPROVER,Activity_Declaration REJECTED by SUPERVISOR,Activity_Declaration SAVED by EMPLOYEE,Activity_Declaration SUBMITTED by EMPLOYEE,Activity_Request Payment,Activity_other,Resource_STAFF MEMBER,Resource_SYSTEM,id_other,Role_ADMINISTRATION,Role_EMPLOYEE,Role_PRE_APPROVER,Role_SUPERVISOR,Role_UNDEFINED,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,hour_0,hour_1,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_2,hour_20,hour_21,hour_22,hour_23,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,Segment_Prediction_0,Segment_Prediction_1,C_S1_0.0,C_S1_1.0,C_S2_0.0,C_S2_1.0,C_S3_0.0,C_S3_1.0,duration_mean,duration_max,duration_min,duration_sum,duration_std,elapsed_mean,elapsed_max,elapsed_min,elapsed_sum,elapsed_std,Predicted_Distance_mean,Predicted_Distance_max,Predicted_Distance_min,Predicted_Distance_sum,Predicted_Distance_std,true_value,predicted_value,relative_error
declaration 100053_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0.0583333333333333,0.1166666666666666,0.0,0.1166666666666666,0.08249579113843049,3.5,7.0,0.0,7.0,4.949747468305833,0.0,0.0,0.0,0.0,0.0,7183052.0,855424.5,0.8809107187307011
declaration 100059_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,0,0.025,0.05,0.0,0.05,0.03535533905932738,1.5,3.0,0.0,3.0,2.1213203435596424,120096.5,240193.0,0.0,240193.0,169842.0990935404,529826.0,629239.75,0.18763471403819368
declaration 100064_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,0,0.01666666666666665,0.0333333333333333,0.0,0.0333333333333333,0.02357022603955156,1.0,2.0,0.0,2.0,1.4142135623730951,120046.5,240093.0,0.0,240093.0,169771.38841542177,529759.0,629239.75,0.1877849172925802
declaration 100069_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,0,0.23333333333333334,0.4666666666666667,0.0,0.4666666666666667,0.3299831645537222,14.0,28.0,0.0,28.0,19.79898987322333,119554.5,239109.0,0.0,239109.0,169075.5953427342,529702.0,629239.75,0.18791273206444378
declaration 100074_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,0,0.0083333333333333,0.0166666666666666,0.0,0.0166666666666666,0.011785113019775745,0.5,1.0,0.0,1.0,0.7071067811865476,119483.0,238966.0,0.0,238966.0,168974.47907302453,529652.0,629239.75,0.18802487293543685
declaration 100079_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,6.225,12.45,0.0,12.45,8.803479425772515,373.5,747.0,0.0,747.0,528.208765546351,0.0,0.0,0.0,0.0,0.0,873904.0,880800.2,0.007891241486479064
declaration 100085_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,0,1.5416666666666667,3.0833333333333335,0.0,3.0833333333333335,2.1802459086585215,92.5,185.0,0.0,185.0,130.8147545195113,117524.5,235049.0,0.0,235049.0,166204.7418111168,527763.0,629239.75,0.1922771206014821
declaration 100090_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,0,0.06666666666666665,0.1333333333333333,0.0,0.1333333333333333,0.09428090415820632,4.0,8.0,0.0,8.0,5.656854249492381,115772.0,231544.0,0.0,231544.0,163726.33254305797,519595.0,629239.75,0.2110196402967696
declaration 100095_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,2,0,2,0,0.05,0.1,0.0,0.1,0.07071067811865477,3.0,6.0,0.0,6.0,4.242640687119285,96271.0,192542.0,0.0,192542.0,136147.75386322022,456719.0,612066.6,0.3401383016690788
declaration 100100_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,0,0.23333333333333334,0.4666666666666667,0.0,0.4666666666666667,0.3299831645537222,14.0,28.0,0.0,28.0,19.79898987322333,70504.0,141008.0,0.0,141008.0,99707.7130015527,426916.0,584106.7,0.3682005066570473
declaration 100105_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,5794.183333333334,11588.366666666669,0.0,11588.366666666669,8194.21265287615,347651.0,695302.0,0.0,695302.0,491652.75917256885,0.0,0.0,0.0,0.0,0.0,679366.0,868669.9,0.27864784961272715
declaration 100111_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,2,0,2,0,0.0333333333333333,0.0666666666666666,0.0,0.0666666666666666,0.04714045207910312,2.0,4.0,0.0,4.0,2.8284271247461903,41834.0,83668.0,0.0,83668.0,59162.21016831606,977278.0,542525.6,0.44486049517128184
declaration 100116_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,1.3583333333333334,2.716666666666667,0.0,2.716666666666667,1.9209734222234542,81.5,163.0,0.0,163.0,115.25840533340725,0.0,0.0,0.0,0.0,0.0,369899.0,846947.9,1.2896733297467686
declaration 100122_2,0,0,0,1,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2.3666666666666667,4.733333333333333,0.0,4.733333333333333,3.346972097616325,142.0,284.0,0.0,284.0,200.8183258569795,0.0,0.0,0.0,0.0,0.0,369601.0,1037881.2,1.8081124983428074
declaration 100131_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,1.1083333333333334,2.216666666666667,0.0,2.216666666666667,1.5674200316301805,66.5,133.0,0.0,133.0,94.04520189781083,0.0,0.0,0.0,0.0,0.0,369407.0,846947.9,1.292722863941398
declaration 100137_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,3.05,6.1,0.0,6.1,4.313351365237939,183.0,366.0,0.0,366.0,258.8010819142764,0.0,0.0,0.0,0.0,0.0,973424.0,850740.44,0.12603301593139268
declaration 100143_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0.8916666666666667,1.7833333333333334,0.0,1.7833333333333334,1.2610070931160098,53.5,107.0,0.0,107.0,75.66042558696059,0.0,0.0,0.0,0.0,0.0,364078.0,847728.6,1.3284258455605666
declaration 100149_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,0,0.0333333333333333,0.0666666666666666,0.0,0.0666666666666666,0.04714045207910312,2.0,4.0,0.0,4.0,2.8284271247461903,34663.0,69326.0,0.0,69326.0,49020.884712538595,361828.0,542525.6,0.499401994870491
declaration 100154_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,1.175,2.35,0.0,2.35,1.6617009357883867,70.5,141.0,0.0,141.0,99.7020561473032,0.0,0.0,0.0,0.0,0.0,696951.0,846947.9,0.21521868108374909
declaration 100160_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2,0,2,0,0.0583333333333333,0.1166666666666666,0.0,0.1166666666666666,0.08249579113843049,3.5,7.0,0.0,7.0,4.949747468305833,0.0,0.0,0.0,0.0,0.0,292024.0,813751.3,1.786590528518204
declaration 100166_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2,0,2,0,0.075,0.15,0.0,0.15,0.10606601717798213,4.5,9.0,0.0,9.0,6.363961030678928,0.0,0.0,0.0,0.0,0.0,895284.0,806528.44,0.09913676833273018
declaration 100172_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,2,0,2,0,0.025,0.05,0.0,0.05,0.03535533905932738,1.5,3.0,0.0,3.0,2.1213203435596424,7991.0,15982.0,0.0,15982.0,11300.980576923403,290334.0,505582.66,0.7413828771346105
declaration 100177_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,2,0,2,0,74.01666666666667,148.03333333333333,0.0,148.03333333333333,104.67537384164858,4441.0,8882.0,0.0,8882.0,6280.522430498915,286.0,572.0,0.0,572.0,404.4650788387052,281287.0,508052.25,0.8061703882511456
declaration 100182_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,2,0,2,0,0.43333333333333335,0.8666666666666667,0.0,0.8666666666666667,0.6128258770283412,26.0,52.0,0.0,52.0,36.76955262170047,687.0,1374.0,0.0,1374.0,971.5647173503163,289609.0,505582.66,0.7457422119133038
declaration 100187_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,2,0,2,0,1.8166666666666669,3.6333333333333337,0.0,3.6333333333333337,2.569154638311123,109.0,218.0,0.0,218.0,154.14927829866735,4111.0,8222.0,0.0,8222.0,5813.831954915794,288921.0,505582.66,0.7498993020583481
declaration 100192_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,2,0,2,0,0.7916666666666666,1.5833333333333333,0.0,1.5833333333333333,1.1195857368787,47.5,95.0,0.0,95.0,67.17514421272202,277.5,555.0,0.0,555.0,392.44426355853386,288960.0,505582.66,0.7496631237887597
declaration 100197_2,0,1,0,0,0,0,0,1,0,0,2,0,2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,2,0,2,0,19448.1,38896.2,0.0,38896.2,27503.76678238819,1166886.0,2333772.0,0.0,2333772.0,1650226.0069432913,0.0,0.0,0.0,0.0,0.0,27415316.0,8750233.0,0.680826841463363
declaration 100207_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0.125,0.25,0.0,0.25,0.1767766952966369,7.5,15.0,0.0,15.0,10.606601717798213,0.0,0.0,0.0,0.0,0.0,348718.0,829577.7,1.3789356657815197
declaration 100213_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,2,0,2,0,1.925,3.85,0.0,3.85,2.722361107568208,115.5,231.0,0.0,231.0,163.3416664540925,90086.5,180173.0,0.0,180173.0,127401.55008672383,631036.0,591833.94,0.06212333765427012
declaration 100218_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,0,0.04166666666666665,0.0833333333333333,0.0,0.0833333333333333,0.05892556509887894,2.5,5.0,0.0,5.0,3.5355339059327378,37429.5,74859.0,0.0,74859.0,52933.30653284376,276381.0,510419.9,0.8467981020764814
declaration 100223_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,0,0.6333333333333333,1.2666666666666666,0.0,1.2666666666666666,0.8956685895029601,38.0,76.0,0.0,76.0,53.74011537017761,129122.0,258244.0,0.0,258244.0,182606.08360073878,1220293.0,632039.44,0.48205927797668263
declaration 100228_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,0,0.3,0.6,0.0,0.6,0.4242640687119285,18.0,36.0,0.0,36.0,25.45584412271571,445.5,891.0,0.0,891.0,630.0321420372138,267407.0,505582.66,0.8906859440852334
declaration 100233_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2.9166666666666665,5.833333333333333,0.0,5.833333333333333,4.1247895569215265,175.0,350.0,0.0,350.0,247.48737341529164,0.0,0.0,0.0,0.0,0.0,2080439.0,820066.44,0.6058204842824039
declaration 100239_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0.01666666666666665,0.0333333333333333,0.0,0.0333333333333333,0.02357022603955156,1.0,2.0,0.0,2.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,610916.0,800162.44,0.30977489131075303
declaration 100245_2,0,0,0,1,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,5.258333333333334,10.516666666666667,0.0,10.516666666666667,7.436406315478525,315.5,631.0,0.0,631.0,446.1843789287115,0.0,0.0,0.0,0.0,0.0,2078718.0,1255385.9,0.39607687286106147
declaration 100258_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,2,0,90535.875,181071.75,0.0,181071.75,128037.06230631523,5432152.5,10864305.0,0.0,10864305.0,7682223.738378914,0.0,0.0,0.0,0.0,0.0,887574.0,849321.3,0.043098026192745616
declaration 100264_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,0,0.0333333333333333,0.0666666666666666,0.0,0.0666666666666666,0.04714045207910312,2.0,4.0,0.0,4.0,2.8284271247461903,29215.0,58430.0,0.0,58430.0,41316.249224729974,603667.0,510419.9,0.15446776741150336
declaration 100269_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,2,0,2,0,16.091666666666665,32.18333333333333,0.0,32.18333333333333,22.75705324118705,965.5,1931.0,0.0,1931.0,1365.4231944712233,43384.5,86769.0,0.0,86769.0,61354.94829677554,546494.0,601820.94,0.10123978945788975
declaration 100274_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,2,0,2,0,6.958333333333333,13.916666666666666,0.0,13.916666666666666,9.840569371512785,417.5,835.0,0.0,835.0,590.4341622907672,85204.0,170408.0,0.0,170408.0,120496.6523684372,547302.0,609716.5,0.11404032873989133
declaration 100279_2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,2,0,2,0,0.925,1.85,0.0,1.85,1.308147545195113,55.5,111.0,0.0,111.0,78.48885271170677,49702.5,99405.0,0.0,99405.0,70289.94958384876,547660.0,552072.7,0.008057348537413724
