Case ID,Activity_Declaration APPROVED by ADMINISTRATION,Activity_Declaration APPROVED by PRE_APPROVER,Activity_Declaration FINAL_APPROVED by SUPERVISOR,Activity_Declaration REJECTED by EMPLOYEE,Activity_Declaration REJECTED by MISSING,Activity_Declaration REJECTED by SUPERVISOR,Activity_Declaration SAVED by EMPLOYEE,Activity_Declaration SUBMITTED by EMPLOYEE,Activity_Payment Handled,Activity_Request Payment,Resource_STAFF MEMBER,Resource_SYSTEM,id_other,Role_ADMINISTRATION,Role_EMPLOYEE,Role_MISSING,Role_PRE_APPROVER,Role_SUPERVISOR,Role_UNDEFINED,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,hour_0,hour_1,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_2,hour_20,hour_21,hour_22,hour_23,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,duration_mean,duration_max,duration_min,duration_sum,duration_std,elapsed_mean,elapsed_max,elapsed_min,elapsed_sum,elapsed_std,true_value,predicted_value,relative_error
declaration 100037_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1905.3083333333334,7470.05,0.0,7621.233333333334,3710.492770321903,116608.0,457274.0,0.0,466432.0,227150.53674454158,159225.0,174504.39,0.09596100251216831
declaration 100037_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2054.996666666667,7470.05,0.0,10274.983333333334,3230.7662302678123,216586.2,616499.0,0.0,1082931.0,297785.53882567905,0.0,0.0,0.0
declaration 100048_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,316.62916666666666,1219.2166666666667,0.0,1266.5166666666667,602.064407834042,19752.25,75991.0,0.0,79009.0,37514.94459878623,454746.0,256453.88,0.4360502896122231
declaration 100048_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1769.1233333333334,7579.1,0.0,8845.616666666667,3289.4616101102156,121949.2,530737.0,0.0,609746.0,230817.2680882,0.0,419.8223,0.050302216168533205
declaration 100059_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1004.5458333333332,4003.2166666666662,0.0,4018.183333333333,1999.1262145124615,120322.5,241091.0,0.0,481290.0,138935.2039393424,288738.0,251275.62,0.12974521884892187
declaration 100059_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1766.0966666666668,4812.3,0.0,8830.483333333334,2428.410503789807,202223.8,529829.0,0.0,1011119.0,219126.35140187957,0.0,0.0,0.0
declaration 100064_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1004.2625,4001.55,0.0,4017.05,1998.2049399201514,120280.0,241023.0,0.0,481120.0,138886.7427774636,288738.0,251275.62,0.12974521884892187
declaration 100064_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1765.8700000000001,4812.3,0.0,8829.35,2427.9306326009855,202176.2,529761.0,0.0,1010881.0,219093.77755130336,0.0,0.0,0.0
declaration 100069_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1004.1291666666667,3985.15,0.0,4016.516666666667,1987.3998102105677,120039.0,240991.0,0.0,480156.0,138594.99936866408,288739.0,251791.11,0.12796293754913607
declaration 100069_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1765.7666666666669,4812.316666666667,0.0,8828.833333333334,2421.3171851804136,201977.2,529730.0,0.0,1009886.0,219033.72681781222,0.0,0.0,0.0
declaration 100074_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1003.8041666666668,3982.766666666667,0.0,4015.216666666667,1986.0338216682478,119970.25,240913.0,0.0,479881.0,138531.41294636633,288740.0,251791.11,0.12796595769550462
declaration 100074_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1765.5099999999998,4812.333333333333,0.0,8827.55,2420.5839457200773,201906.8,529653.0,0.0,1009534.0,219000.46897027415,0.0,0.0,0.0
declaration 100085_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1360.6958333333332,3917.483333333333,0.0,5442.783333333333,1849.130980646845,140496.5,326567.0,0.0,561986.0,166357.0541746477,201381.0,189787.4,0.05757044482845949
declaration 100085_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1759.8266666666666,3917.483333333333,0.0,8799.133333333333,1833.300615905034,217986.8,527948.0,0.0,1089934.0,225343.59337620408,0.0,0.0,0.0
declaration 100090_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,977.9124999999999,3859.0666666666666,0.0,3911.6499999999996,1920.928172128477,116564.75,234699.0,0.0,466259.0,134598.89251494603,284904.0,250071.5,0.12226048072333137
declaration 100090_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1732.0099999999998,4748.4,0.0,8660.05,2368.7104042894075,197172.4,519603.0,0.0,985862.0,214652.30628227594,0.0,0.0,0.0
declaration 100095_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1051.2666666666667,3209.0333333333333,0.0,4205.066666666667,1513.1789639818012,111214.5,252304.0,0.0,444858.0,130712.63738317986,204421.0,206620.56,0.010759963506684733
declaration 100095_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1522.4166666666665,3407.016666666667,0.0,7612.083333333333,1681.4263425073898,180316.6,456725.0,0.0,901583.0,191545.93783424384,0.0,0.0,0.0
declaration 100100_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,934.175,2350.133333333333,0.0,3736.7,1147.9936686414,91316.5,224202.0,0.0,365266.0,110759.31592872899,202742.0,227645.4,0.12283299094415563
declaration 100100_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1423.1466666666668,3379.0333333333333,0.0,7115.733333333334,1477.796857299556,158442.0,426944.0,0.0,792210.0,178128.8390463487,0.0,1445.962,0.17325210114220135
declaration 100111_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2945.1166666666663,10385.933333333332,0.0,11780.466666666665,5003.9084647977,197626.0,706828.0,0.0,790504.0,341751.7040581754,270454.0,307861.72,0.138314533155361
declaration 100111_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,0,0,4,1,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3257.6066666666666,10385.933333333332,0.0,16288.033333333333,4389.484587460759,353557.2,977282.0,0.0,1767786.0,457349.2823731114,0.0,0.0,0.0
declaration 100149_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,306.8125,1155.4333333333334,0.0,1227.25,566.7564480142602,35742.25,73635.0,0.0,142969.0,41306.691954815265,288197.0,257774.61,0.1055610940606599
declaration 100149_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1206.1066666666668,4803.283333333334,0.0,6030.533333333334,2069.9177869006726,100960.2,361832.0,0.0,504801.0,150155.2100701138,0.0,39.517395,0.004734890368982896
declaration 100172_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,121.03333333333333,266.3666666666667,0.0,484.1333333333333,141.13289180112534,11259.0,29048.0,0.0,45036.0,14050.459233301475,261289.0,233759.89,0.10535885312814547
declaration 100172_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,967.79,4354.816666666667,0.0,4838.95,1897.346339650021,67074.6,290337.0,0.0,335373.0,125399.2327340961,0.0,49.579002,0.005940450800427881
declaration 100177_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,91.525,208.53333333333333,0.0,366.1,103.25308846604918,10075.5,21966.0,0.0,40302.0,9031.618441158078,268203.0,234486.06,0.12571424443425316
declaration 100177_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,967.2300000000001,4470.05,0.0,4836.150000000001,1960.1765571839017,66094.2,290169.0,0.0,330471.0,125505.58293239388,0.0,49.579002,0.005940450800427881
declaration 100182_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7.341666666666667,22.9,0.0,29.366666666666667,10.66021940570539,810.0,1762.0,0.0,3240.0,915.8646188165585,287899.0,235945.89,0.18045602581113515
declaration 100182_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,965.5366666666666,4798.316666666667,0.0,4827.683333333333,2142.609045144105,58580.2,289661.0,0.0,292901.0,129180.5292844088,0.0,49.579002,0.005940450800427881
declaration 100187_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,87.2875,208.48333333333332,0.0,349.15,102.92425241949105,7401.75,20949.0,0.0,29607.0,9848.825864876822,268190.0,235405.48,0.1222436169320258
declaration 100187_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,963.7966666666665,4469.833333333333,0.0,4818.983333333333,1961.9598995788765,63749.2,289139.0,0.0,318746.0,126285.09466956106,0.0,49.579002,0.005940450800427881
declaration 100192_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7.8291666666666675,20.483333333333334,0.0,31.31666666666667,9.353305763402783,656.0,1879.0,0.0,2624.0,864.2572919372255,287176.0,233485.78,0.18695928193860212
declaration 100192_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,963.5166666666667,4786.266666666666,0.0,4817.583333333333,2136.9975670383383,58335.8,289055.0,0.0,291679.0,128978.12545428005,0.0,49.579002,0.005940450800427881
declaration 100213_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1549.3916666666667,3190.8333333333335,0.0,6197.566666666667,1788.5079768974826,138122.25,371854.0,0.0,552489.0,177491.81212359254,259413.0,236168.86,0.0896028365000983
declaration 100213_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2104.2233333333334,4323.55,0.0,10521.116666666667,1984.505348758224,236751.2,631267.0,0.0,1183756.0,268823.09502477647,0.0,1323.7092,0.15860402929734305
declaration 100218_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,318.8041666666667,1247.65,0.0,1275.2166666666667,619.3656637559228,37845.5,76513.0,0.0,151382.0,43702.5178870356,199873.0,173363.12,0.1326335973343073
declaration 100218_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,921.2866666666666,3331.2166666666667,0.0,4606.433333333333,1450.046958933093,85553.6,276386.0,0.0,427768.0,113193.40343103037,0.0,0.0,0.0
declaration 100223_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3147.3999999999996,8284.266666666666,0.0,12589.599999999999,3980.3500114102194,253443.0,755376.0,0.0,1013772.0,356084.59320597776,464993.0,296106.62,0.3632019729329259
declaration 100223_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4067.896666666666,8284.266666666666,0.0,20339.48333333333,4014.8424908982697,446828.2,1220369.0,0.0,2234141.0,531118.0245804128,0.0,618.2008,0.07407150798754643
declaration 100228_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.966666666666654,188.41666666666663,0.0,203.86666666666662,91.89000368798433,3298.75,12232.0,0.0,13195.0,5970.914021320354,255211.0,244312.56,0.042703635423238025
declaration 100228_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891.4766666666667,4253.516666666666,0.0,4457.383333333333,1881.121508590908,56127.6,267443.0,0.0,280638.0,118242.02223532884,0.0,2550.9712,0.3056519520017074
declaration 100264_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,930.9375,2749.85,0.0,3723.75,1296.591412438855,70465.75,223425.0,0.0,281863.0,105627.60892990998,380246.0,315985.88,0.16899618930902627
declaration 100264_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2012.236666666667,6337.433333333333,0.0,10061.183333333334,2665.8772303460973,177106.8,603671.0,0.0,885534.0,255400.59035111882,0.0,0.0,0.0
declaration 100269_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,815.0916666666667,1782.0333333333333,0.0,3260.366666666667,932.8327271055938,71563.25,195622.0,0.0,286253.0,92473.76320295756,352803.0,346946.28,0.01660053556800821
declaration 100269_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1828.0833333333335,5880.05,0.0,9140.416666666668,2404.868656756539,166935.6,548425.0,0.0,834678.0,227800.2927638593,0.0,1314.2701,0.15747305794411245
declaration 100274_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1173.5874999999999,2840.133333333333,0.0,4694.349999999999,1407.6013443795348,113434.75,281661.0,0.0,453739.0,138067.62976255512,266476.0,341254.1,0.2806184937855567
declaration 100274_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1827.123333333333,4441.266666666666,0.0,9135.616666666665,1903.0374630515757,200375.2,548137.0,0.0,1001876.0,228232.80224849362,0.0,871.7284,0.1044486452857282
declaration 100279_4,1,0,1,0,0,0,0,1,0,1,3,1,4,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,742.4749999999999,1656.75,0.0,2969.8999999999996,867.804734660972,69455.25,178194.0,0.0,277821.0,86333.50296524519,369577.0,324158.4,0.12289345319108061
declaration 100279_5,1,0,1,0,0,0,0,1,1,1,3,2,5,1,1,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1825.9033333333332,6159.616666666667,0.0,9129.516666666666,2536.5130712204545,165118.4,547771.0,0.0,825592.0,226599.41888782504,0.0,361.71347,0.043339740050201817
